cq,set,read_fkgl,read_gfi,read_cli,read_ari,read_dcr,read_fkgl_scaled,read_gfi_scaled,read_cli_scaled,read_ari_scaled,read_dcr_scaled
When was the item first purchased,1,2.1,2.4,6.25,3.6,9.2,0.11299435028248588,0.03315375051802735,0.44860527321360333,0.36796536796536794,0.4821917808219177
Does an item have a brand associated with it,1,6.8,8.04,4.14,1.9,9.35,0.3785310734463277,0.26688769167012016,0.3679786014520443,0.2943722943722944,0.4904109589041096
What is the type of artefact is the item “Gibson J-160E”,1,4.0,4.4,4.21,3.8,12.79,0.22033898305084745,0.11603812681309575,0.3706534199465036,0.37662337662337664,0.678904109589041
Where can an item be sent for repairs?,1,2.9,3.2,2.1,0.8,7.98,0.1581920903954802,0.0663075010360547,0.29002674818494456,0.24675324675324675,0.41534246575342465
How can the item be displayed? (An original recording?),1,7.4,10.69,5.41,5.4,10.88,0.4124293785310735,0.3767094902610858,0.4165074512800917,0.4458874458874459,0.5742465753424657
Is an item one of many items of the same types?,1,4.0,4.4,0.5,-0.2,8.49,0.22033898305084745,0.11603812681309575,0.22888803974016048,0.20346320346320346,0.44328767123287666
Are there requirements for an item to be returned?,1,4.4,8.04,7.39,5.1,9.35,0.24293785310734464,0.26688769167012016,0.49216660298051196,0.4329004329004329,0.4904109589041096
What kind of metadata was provided for a loaned item when first acquired?,1,7.2,14.43,8.63,7.2,10.35,0.4011299435028249,0.5317032739328638,0.5395491020252197,0.5238095238095238,0.5452054794520548
Does an item have a full history associated with it,1,8.4,8.0,5.6,3.4,7.29,0.4689265536723164,0.2652300041442188,0.42376767290790973,0.3593073593073593,0.3775342465753424
What is the alias of a music artist?,2,5.2,8.2,0.65,-0.4,6.01,0.288135593220339,0.27351844177372564,0.23461979365685898,0.19480519480519481,0.3073972602739726
What is the name of a music artist?,2,2.9,3.2,-0.05,-1.0,0.4,0.1581920903954802,0.0663075010360547,0.20787160871226593,0.16883116883116883,0.0
What role did a music artist play within a music ensemble?,2,6.4,8.04,6.3,4.6,8.49,0.3559322033898305,0.26688769167012016,0.4505158578525028,0.4112554112554112,0.44328767123287666
Who are the members of a a music ensemble?,2,4.4,8.04,2.23,0.9,7.59,0.24293785310734464,0.26688769167012016,0.29499426824608327,0.2510822510822511,0.39397260273972595
Who is the composer of a music work?,2,4.1,8.2,0.65,-0.4,6.01,0.22598870056497172,0.27351844177372564,0.23461979365685898,0.19480519480519481,0.3073972602739726
Who is the designer of a costume?,2,3.7,8.51,1.57,0.3,8.5,0.2033898305084746,0.28636552009946126,0.26977455101260983,0.22510822510822512,0.4438356164383561
Which is the serial number of an instrument?,2,6.4,13.2,6.45,4.4,7.98,0.3559322033898305,0.4807293825113966,0.45624761176920137,0.4025974025974026,0.41534246575342465
Which is the model of an instrument?,2,3.7,8.51,4.07,2.3,8.5,0.2033898305084746,0.28636552009946126,0.365303782957585,0.3116883116883117,0.4438356164383561
What is the brand of an instrument?,2,2.5,8.51,3.26,1.6,8.5,0.13559322033898305,0.28636552009946126,0.33435231180741304,0.2813852813852814,0.4438356164383561
What is the family of an instrument?,2,6.0,8.51,4.07,2.3,6.24,0.3333333333333333,0.28636552009946126,0.365303782957585,0.3116883116883117,0.31999999999999995
What is the size of an item?,2,0.1,2.8,-2.55,-3.2,6.24,0.0,0.049730625777041015,0.1123423767672908,0.0735930735930736,0.31999999999999995
What is the current condition of an item?,2,5.2,8.2,4.31,2.6,9.95,0.288135593220339,0.27351844177372564,0.37447458922430255,0.3246753246753247,0.5232876712328767
Which materials is the item made of?,2,6.0,8.51,4.07,2.3,8.5,0.3333333333333333,0.28636552009946126,0.365303782957585,0.3116883116883117,0.4438356164383561
In which year was the item produced?,2,2.5,2.8,4.07,2.3,8.5,0.13559322033898305,0.049730625777041015,0.365303782957585,0.3116883116883117,0.4438356164383561
What are the specific light level requirements for the item?,2,7.2,12.0,10.24,7.6,8.87,0.4011299435028249,0.43099875673435556,0.6010699273977836,0.5411255411255411,0.4641095890410958
What are the specific humidity requirements for the item?,2,10.3,16.93,11.86,8.7,11.1,0.5762711864406781,0.6353087443016991,0.6629728696981275,0.5887445887445887,0.5863013698630136
What are the specific temperature requirements for the item?,2,9.2,16.93,13.83,10.3,11.1,0.5141242937853108,0.6353087443016991,0.738249904470768,0.658008658008658,0.5863013698630136
Does the item have any display requirements?,2,7.2,8.51,10.74,7.6,10.75,0.4011299435028249,0.28636552009946126,0.6201757737867787,0.5411255411255411,0.5671232876712328
What is the agreed-upon value of the item for insurance purposes?,2,6.4,11.67,9.49,7.6,9.92,0.3559322033898305,0.4173228346456693,0.5724111578142912,0.5411255411255411,0.5216438356164383
What is the estimated value of the item?,2,6.4,8.2,3.55,2.0,7.98,0.3559322033898305,0.27351844177372564,0.34543370271303014,0.2987012987012987,0.41534246575342465
When does the lend of the item end?,2,0.5,3.2,-0.05,-1.0,6.01,0.022598870056497175,0.0663075010360547,0.20787160871226593,0.16883116883116883,0.3073972602739726
When does the lend of the item start?,2,0.5,3.2,1.41,0.2,6.01,0.022598870056497175,0.0663075010360547,0.26366068016813143,0.2207792207792208,0.3073972602739726
Who is the current lender of an item?,2,4.1,3.2,1.41,0.2,9.95,0.22598870056497172,0.0663075010360547,0.26366068016813143,0.2207792207792208,0.5232876712328767
How was the item acquired by the museum?,2,6.4,13.2,3.55,2.0,9.95,0.3559322033898305,0.4807293825113966,0.34543370271303014,0.2987012987012987,0.5232876712328767
What is the documented history of ownership of the item?,2,9.6,12.0,7.92,5.7,8.87,0.536723163841808,0.43099875673435556,0.5124188001528467,0.4588744588744589,0.4641095890410958
"Was this item ever featured in a significant publication (magazine, book, newspaper)?",2,13.9,11.47,15.18,13.6,9.5,0.7796610169491526,0.4090343970161625,0.7898356897210546,0.8008658008658008,0.4986301369863013
Was the item involved in any significant historical events besides performances?,2,15.8,15.31,17.9,14.0,12.79,0.8870056497175142,0.5681723995026937,0.8937714940771875,0.8181818181818182,0.678904109589041
Was an item used during a music performance?,2,6.4,8.2,6.45,4.4,7.98,0.3559322033898305,0.27351844177372564,0.45624761176920137,0.4025974025974026,0.41534246575342465
Was an item owned by a music artist?,2,4.1,3.2,0.65,-0.4,7.98,0.22598870056497172,0.0663075010360547,0.23461979365685898,0.19480519480519481,0.41534246575342465
Was an item produced by a music artist?,2,5.2,3.2,2.86,1.4,7.98,0.288135593220339,0.0663075010360547,0.319067634696217,0.2727272727272727,0.41534246575342465
Was an item used by a music artist?,2,4.1,3.2,-0.05,-1.0,6.01,0.22598870056497172,0.0663075010360547,0.20787160871226593,0.16883116883116883,0.3073972602739726
Which music releases are associated to a given item?,2,11.5,12.49,8.67,6.1,9.35,0.6440677966101696,0.4513054289266473,0.5410775697363392,0.47619047619047616,0.4904109589041096
Which events are associated to a given item?,2,10.0,8.2,6.45,4.4,9.95,0.5593220338983051,0.27351844177372564,0.45624761176920137,0.4025974025974026,0.5232876712328767
Which music performances are associated to an item?,2,12.3,13.2,11.56,8.5,9.95,0.6892655367231639,0.4807293825113966,0.6515093618647305,0.5800865800865801,0.5232876712328767
Which music works are associated to an item?,2,8.8,8.2,6.45,4.4,9.95,0.4915254237288136,0.27351844177372564,0.45624761176920137,0.4025974025974026,0.5232876712328767
Which music artists are associated to an item?,2,10.0,8.2,7.9,5.6,9.95,0.5593220338983051,0.27351844177372564,0.5116545662972869,0.45454545454545453,0.5232876712328767
Are there any copyright restrictions on the multimedia files?,2,11.5,16.93,14.47,10.8,11.1,0.6440677966101696,0.6353087443016991,0.7627053878486816,0.6796536796536796,0.5863013698630136
What is the resolution or quality of each multimedia file?,2,10.7,16.0,9.08,6.6,8.87,0.5988700564971752,0.5967675093244924,0.5567443637753151,0.49783549783549785,0.4641095890410958
What is the format of each multimedia file?,2,6.4,8.2,5.76,3.8,7.98,0.3559322033898305,0.27351844177372564,0.4298815437523882,0.37662337662337664,0.41534246575342465
Give me all the videos associated to a given item,2,9.6,12.0,4.44,2.4,8.87,0.536723163841808,0.43099875673435556,0.3794421092854413,0.31601731601731603,0.4641095890410958
Give me all the audio recordings associated to a given item,2,11.1,15.31,7.35,5.0,9.92,0.6214689265536724,0.5681723995026937,0.4906381352693924,0.4285714285714286,0.5216438356164383
Which is the primary image of the item if available?,2,8.4,12.0,5.6,3.8,10.45,0.4689265536723164,0.43099875673435556,0.42376767290790973,0.37662337662337664,0.5506849315068493
Give me all the images associated to a given item,2,9.6,12.0,4.44,2.4,8.87,0.536723163841808,0.43099875673435556,0.3794421092854413,0.31601731601731603,0.4641095890410958
To which specific period or era does this item belong?,2,8.4,12.0,6.76,4.8,10.45,0.4689265536723164,0.43099875673435556,0.4680932365303782,0.4199134199134199,0.5506849315068493
To which music genres can this item be associated?,2,9.2,8.04,7.39,5.1,9.35,0.5141242937853108,0.26688769167012016,0.49216660298051196,0.4329004329004329,0.4904109589041096
Are there any items in the collection related to this item?,2,7.6,11.67,6.82,5.0,9.92,0.423728813559322,0.4173228346456693,0.47038593809705764,0.4285714285714286,0.5216438356164383
Is this item part of a larger set?,2,2.9,3.2,-0.81,-1.6,7.98,0.1581920903954802,0.0663075010360547,0.1788307222009935,0.14285714285714285,0.41534246575342465
What is the caption of the item that is displayed at the museum?,2,6.0,8.28,4.57,3.9,9.14,0.3333333333333333,0.2768338168255284,0.38440962934658,0.38095238095238093,0.47890410958904106
What is the main textual description associated to an item?,2,10.7,16.0,9.66,7.1,12.03,0.5988700564971752,0.5967675093244924,0.5789071455865494,0.5194805194805194,0.6372602739726027
What is the name or title of an item?,2,2.1,3.6,-1.03,-1.9,5.84,0.11299435028248588,0.0828843762950684,0.17042414978983567,0.12987012987012989,0.29808219178082185
What is the broad category of an item?,2,5.2,8.2,2.1,0.8,7.98,0.288135593220339,0.27351844177372564,0.29002674818494456,0.24675324675324675,0.41534246575342465
What is the duration of each audio or video recording?,2,9.6,20.0,6.76,4.8,10.45,0.536723163841808,0.7625362619146292,0.4680932365303782,0.4199134199134199,0.5506849315068493
Which colours are associate to the item?,2,7.2,8.51,7.37,5.0,10.75,0.4011299435028249,0.28636552009946126,0.49140236912495217,0.4285714285714286,0.5671232876712328
Was an item involved in the creative process of a work?,2,6.4,8.04,4.74,3.3,9.92,0.3559322033898305,0.26688769167012016,0.3909056171188383,0.35497835497835495,0.5216438356164383
Which instrument was used by a music artist?,3,5.2,8.2,6.45,4.4,6.01,0.288135593220339,0.27351844177372564,0.45624761176920137,0.4025974025974026,0.3073972602739726
 Which manuscripts was written by a music artist?,3,6.4,8.2,9.35,6.7,6.01,0.3559322033898305,0.27351844177372564,0.5670615208253724,0.5021645021645021,0.3073972602739726
 What security measures do I need to display an item?,3,7.2,8.0,5.6,3.8,10.45,0.4011299435028249,0.2652300041442188,0.42376767290790973,0.37662337662337664,0.5506849315068493
Which item require no direct lighting exposure?,3,10.7,14.23,13.17,9.7,13.01,0.5988700564971752,0.5234148363033568,0.7130301872372945,0.632034632034632,0.6909589041095889
What is the loan start date of an item to the British Music Experience?,3,6.4,8.46,5.73,5.1,7.71,0.3559322033898305,0.2842934106920846,0.4287351929690485,0.4329004329004329,0.4005479452054794
Find items in good condition,3,5.2,10.0,6.12,3.7,10.2,0.288135593220339,0.3481143804392872,0.44363775315246456,0.3722943722943723,0.5369863013698629
Find items with a (specific) loan start date?,3,4.1,8.2,5.76,4.9,7.98,0.22598870056497172,0.27351844177372564,0.4298815437523882,0.42424242424242425,0.41534246575342465
Which are the display requirements of an item? ,3,5.2,8.2,7.9,5.6,9.95,0.288135593220339,0.27351844177372564,0.5116545662972869,0.45454545454545453,0.5232876712328767
How many costumes are in the collection?,3,6.0,8.51,7.37,5.0,8.5,0.3333333333333333,0.28636552009946126,0.49140236912495217,0.4285714285714286,0.4438356164383561
How many items are in the collection?,3,6.0,8.51,4.94,2.9,8.5,0.3333333333333333,0.28636552009946126,0.39854795567443635,0.33766233766233766,0.4438356164383561
Which guitar was used by John Lennon?,3,2.5,2.8,4.94,2.9,10.75,0.13559322033898305,0.049730625777041015,0.39854795567443635,0.33766233766233766,0.5671232876712328
Which manuscripts require no direct lighting exposure?,3,11.9,19.94,18.97,14.4,13.01,0.6666666666666667,0.7600497306257772,0.9346580053496368,0.8354978354978355,0.6909589041095889
Who acquired an item?,3,7.2,11.6,1.45,1.8,11.73,0.4011299435028249,0.41442188147534187,0.265189147879251,0.29004329004329005,0.6208219178082192
Who acquired the Ziggy Stardust Jumpsuit?,3,8.0,9.07,12.98,9.8,14.46,0.4463276836158192,0.3095731454620804,0.7057699656094765,0.6363636363636364,0.7704109589041096
Who acquired the Gibson J-160E?,3,5.2,10.0,7.28,6.5,16.52,0.288135593220339,0.3481143804392872,0.4879633167749331,0.49350649350649345,0.8832876712328767
Does an insurer provide insurance for an item?,3,8.8,13.2,7.9,5.6,11.93,0.4915254237288136,0.4807293825113966,0.5116545662972869,0.45454545454545453,0.6317808219178082
What is the name of an experiment step?,3,4.1,8.2,2.86,1.4,6.01,0.22598870056497172,0.27351844177372564,0.319067634696217,0.2727272727272727,0.3073972602739726
Does the Rock & Roll Hall of Fame provide insurance for the handwritten lyrics?,3,7.2,11.35,10.37,9.0,10.35,0.4011299435028249,0.4040613344384584,0.6060374474589223,0.6017316017316017,0.5452054794520548
Does the British Music Experience provide insurance for the Gibson J-160E?,3,9.9,11.67,14.25,11.5,14.23,0.5536723163841809,0.4173228346456693,0.7542988154375238,0.7099567099567099,0.7578082191780822
How many years does the loan agreement cover the Ziggy Stardust Jumpsuit?,3,8.0,8.13,11.3,8.9,10.81,0.4463276836158192,0.2706174886033983,0.6415743217424532,0.5974025974025974,0.5704109589041095
How many years does the loan agreement cover an item?,3,6.0,8.0,6.18,4.3,8.87,0.3333333333333333,0.2652300041442188,0.445930454719144,0.39826839826839827,0.4641095890410958
Find manuscripts associated with a music artist,3,11.9,14.23,14.04,9.7,8.5,0.6666666666666667,0.5234148363033568,0.7462743599541458,0.632034632034632,0.4438356164383561
Find an item associated with a music artist,3,10.0,8.2,6.45,3.8,7.98,0.5593220338983051,0.27351844177372564,0.45624761176920137,0.37662337662337664,0.41534246575342465
Find stage costumes associated with David Bowie.,3,10.7,8.51,14.04,10.3,13.01,0.5988700564971752,0.28636552009946126,0.7462743599541458,0.658008658008658,0.6909589041095889
Do the display requirements have stable values of temperature and humidity?,3,11.1,15.31,15.29,11.9,11.36,0.6214689265536724,0.5681723995026937,0.7940389759266334,0.7272727272727273,0.6005479452054794
Do the display requirements have climate-controlled values of humidity control?,3,13.1,12.0,20.68,16.5,15.19,0.7344632768361582,0.43099875673435556,0.9999999999999999,0.9264069264069265,0.8104109589041095
Do the display requirements have climate-controlled values of lighting?,3,10.3,8.04,20.27,16.0,14.61,0.5762711864406781,0.26688769167012016,0.9843332059610239,0.9047619047619048,0.7786301369863012
Do the display requirements have specific values of lighting?,3,9.2,12.49,14.47,10.8,12.86,0.5141242937853108,0.4513054289266473,0.7627053878486816,0.6796536796536796,0.6827397260273972
Do the display requirements have specific values of humidity control?,3,11.9,16.0,15.46,11.8,13.61,0.6666666666666667,0.5967675093244924,0.8005349636988918,0.722943722943723,0.723835616438356
Which museum borrowed an item on loan?,3,6.0,8.51,5.75,3.6,10.75,0.3333333333333333,0.28636552009946126,0.4294994268246083,0.36796536796536794,0.5671232876712328
Which museum borrowed the Gibson J-160E on loan?,3,5.2,8.2,8.66,6.7,13.9,0.288135593220339,0.27351844177372564,0.5406954528085594,0.5021645021645021,0.7397260273972602
 Which are the associated events of the Ziggy Stardust Jumpsuit?,3,9.6,8.0,11.98,9.0,12.03,0.536723163841808,0.2652300041442188,0.6675582728314864,0.6017316017316017,0.6372602739726027
 Which are the associated events of an item?,3,8.8,8.2,5.76,3.8,9.95,0.4915254237288136,0.27351844177372564,0.4298815437523882,0.37662337662337664,0.5232876712328767
Which are the associated works of the Gibson J-160E?,3,6.8,8.04,8.03,6.1,12.86,0.3785310734463277,0.26688769167012016,0.5166220863584257,0.47619047619047616,0.6827397260273972
Which are the associated works of an item?,3,6.4,8.2,5.0,3.2,9.95,0.3559322033898305,0.27351844177372564,0.4008406572411157,0.35064935064935066,0.5232876712328767
Where do I display the Ziggy Stardust Jumpsuit?,3,5.2,3.2,8.66,6.1,11.93,0.288135593220339,0.0663075010360547,0.5406954528085594,0.47619047619047616,0.6317808219178082
Where do I display an item?,3,2.1,2.4,-0.54,-1.2,9.2,0.11299435028248588,0.03315375051802735,0.1891478792510508,0.1601731601731602,0.4821917808219177
What an item has the serial number (Unique identifier)?,3,11.5,12.49,9.31,7.7,11.1,0.6440677966101696,0.4513054289266473,0.5655330531142528,0.5454545454545454,0.5863013698630136
What items from Sonia’s collection are currently on loan to the British Music Experience (BME)?,4,10.3,14.0,11.88,11.5,11.75,0.5762711864406781,0.513883133029424,0.6637371035536874,0.7099567099567099,0.621917808219178
"What is the complete provenance history of a given item, including previous owners, acquisition dates, and prior loans to other institutions?",4,16.2,17.92,15.03,16.2,12.95,0.9096045197740114,0.6763365105677581,0.784103935804356,0.9134199134199134,0.6876712328767123
"Which items in the museum’s collection are on temporary loan, and what are their respective loan start and end dates?",4,9.9,16.0,10.27,11.6,9.37,0.5536723163841809,0.5967675093244924,0.6022162781811233,0.7142857142857143,0.4915068493150684
"What is the current status of the loan agreement for a specific item (e.g., active, expired, indefinite, donated)?",4,9.2,12.49,9.31,8.5,13.73,0.5141242937853108,0.4513054289266473,0.5655330531142528,0.5800865800865801,0.7304109589041096
"Which institutions have previously borrowed a specific item, and during which periods?",4,13.9,18.13,17.1,14.0,12.13,0.7796610169491526,0.68503937007874,0.8632021398547955,0.8181818181818182,0.6427397260273973
"What cataloguing information is available for a given item (e.g., type, brand, model, serial number, associated artists, associated works)?",4,15.3,14.33,14.53,13.3,14.91,0.8587570621468927,0.5275590551181102,0.764998089415361,0.787878787878788,0.7950684931506848
"What multimedia content (images, videos, audio recordings) is associated with a specific item, and how can it be accessed?",4,16.6,22.34,12.65,13.8,12.89,0.9322033898305087,0.8595109821798592,0.6931601069927398,0.8095238095238095,0.6843835616438356
"What is the historical and cultural significance of a given item, as described by the donor or curator?",4,12.7,16.09,9.51,10.1,10.67,0.711864406779661,0.6004973062577703,0.5731753916698509,0.6493506493506493,0.5627397260273972
"What metadata fields are mandatory for each type of item (e.g., instrument, costume, manuscript), and which are optional or type-specific?",4,9.6,16.0,12.85,11.6,13.61,0.536723163841808,0.5967675093244924,0.7008024455483377,0.7142857142857143,0.723835616438356
"What is the current condition of a specific item, including any documented damage or conservation treatments?",4,15.4,18.9,15.77,14.3,12.33,0.864406779661017,0.7169498549523414,0.8123805884600687,0.8311688311688312,0.6536986301369863
Are there annotated photographs or reports highlighting specific areas of concern or interest on an item?,4,13.1,18.9,14.67,13.1,13.31,0.7344632768361582,0.7169498549523414,0.7703477264042796,0.7792207792207793,0.7073972602739725
"What is the conservation history of an item, including dates and types of treatments performed?",4,10.3,11.33,12.69,11.5,11.75,0.5762711864406781,0.4032324906755077,0.6946885747038593,0.7099567099567099,0.621917808219178
"What are the display requirements for a specific item (e.g., case type, lighting, environmental controls)?",4,8.6,11.0,12.83,11.2,14.54,0.48022598870056493,0.3895565685868214,0.7000382116927779,0.6969696969696969,0.7747945205479451
What handling and security instructions are associated with an item while on display or in storage?,4,11.9,13.9,12.53,11.3,11.34,0.6666666666666667,0.5097389142146707,0.6885747038593808,0.7012987012987013,0.5994520547945205
"Which items require special display equipment (e.g., custom mannequins, acid-free matting) or environmental conditions?",4,14.3,17.09,20.66,17.7,18.65,0.8022598870056498,0.6419394944053045,0.9992357661444401,0.9783549783549783,0.9999999999999999
"What items loaned by Sonia are currently visible to her via the dashboard, and what information can she access or update?",4,11.5,14.11,10.04,11.7,12.2,0.6440677966101696,0.5184417737256528,0.5934275888421856,0.7186147186147186,0.6465753424657533
What is the communication history between Sonia and the museum regarding a specific item or loan agreement?,4,14.6,18.56,13.11,12.3,10.98,0.8192090395480226,0.7028595109821798,0.7107374856706151,0.7445887445887446,0.5797260273972602
"What changes or updates have been made to the metadata or status of a loaned item, and by whom?",4,7.2,9.71,5.63,7.1,9.57,0.4011299435028249,0.33609614587650233,0.4249140236912495,0.5194805194805194,0.5024657534246575
"In which exhibitions or display cases has a specific item been featured, and during what time periods?",4,11.1,13.86,11.08,10.9,10.98,0.6214689265536724,0.5080812266887691,0.6331677493312953,0.683982683982684,0.5797260273972602
"What is the current physical location of a specific item (e.g., on display, in storage, in transit)?",4,6.6,10.46,6.57,6.1,13.35,0.3672316384180791,0.367177786987153,0.4608330149025601,0.47619047619047616,0.7095890410958904
"What is the audit trail of an item’s movement between museums, exhibitions, and storage locations?",4,11.5,14.0,13.04,12.4,12.8,0.6440677966101696,0.513883133029424,0.7080626671761558,0.748917748917749,0.6794520547945205
"What are the terms of the loan agreement for a specific item (e.g., compensation, insurance, transport arrangements)?",4,9.0,15.16,12.37,10.8,13.35,0.5028248587570622,0.5619560712805636,0.6824608330149025,0.6796536796536796,0.7095890410958904
"Who is responsible for insurance and transport of a loaned item, and what are the coverage details?",4,9.9,13.86,10.03,10.1,10.98,0.5536723163841809,0.5080812266887691,0.5930454719144057,0.6493506493506493,0.5797260273972602
"What compensation or benefits (e.g., tax deduction, annual fee) are associated with a specific loan or donation?",4,11.3,19.87,11.04,9.4,13.35,0.632768361581921,0.7571487774554497,0.6316392816201757,0.6190476190476191,0.7095890410958904
"How does the addition of a new item from Sonia’s collection enrich the museum’s knowledge base (e.g., new artists, works, or historical periods represented)?",4,10.3,14.8,11.82,10.9,13.44,0.5762711864406781,0.5470368835474513,0.6614444019870079,0.683982683982684,0.7145205479452054
What gaps or overlaps exist in the museum’s collection after integrating Sonia’s loaned items?,4,12.3,17.03,14.43,12.8,14.48,0.6892655367231639,0.6394529631164527,0.761176920137562,0.7662337662337663,0.7715068493150684
"What are the different types of artifacts in the collection (e.g., Instrument, Stage Costume, Manuscript)?",5,7.4,13.67,12.83,11.2,12.43,0.4124293785310735,0.5002072109407376,0.7000382116927779,0.6969696969696969,0.6591780821917808
